name,type,provider,rentalObjectTypes,position.lat,position.lng,rentalObjectCount.bike,rentalObjectCount.cargopedelec
Holstenstraße / Thadenstraße,area,stadtrad-hamburg,['bike'],53.555827,9.950708,0,0
Bruno-Tesch-Platz / Jessenstraße,area,stadtrad-hamburg,['bike'],53.5512,9.94576,2,0
Holstenstraße / Max-Brauer-Allee,area,stadtrad-hamburg,['bike'],53.55865,9.94873,1,0
Chemnitzstraße / Max-Brauer-Allee,area,stadtrad-hamburg,['bike'],53.5553,9.94286,2,0
S Reeperbahn / Königstraße,area,stadtrad-hamburg,['bike'],53.549501,9.954934,3,0
Paulinenplatz / Wohlwillstraße,area,stadtrad-hamburg,['bike'],53.5542,9.96246,1,0
Fischmarkt / Breite Straße,area,stadtrad-hamburg,['bike'],53.5462,9.95088,17,0
S Königstraße / Struenseestraße,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5471,9.94241,2,1
Bahnhof Altona Ost/Max-Brauer-Allee,area,stadtrad-hamburg,['bike'],53.552121,9.936005,3,0
S Holstenstraße / Düppelstraße,area,stadtrad-hamburg,['bike'],53.563037,9.948345,10,0
Neuer Pferdemarkt / Beim Grünen Jäger,area,stadtrad-hamburg,['bike'],53.558869,9.963824,1,0
Felicitas-Kukuck-Straße / Lille Torv,area,stadtrad-hamburg,['bike'],53.55941,9.93758,4,0
Mariannenruhplatz / Eva-Rühmkorf-Straße,area,stadtrad-hamburg,['bike'],53.56153,9.9393,0,0
Bahnhof Altona / Busbahnhof,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5518,9.93387,1,1
Schulterblatt / Eifflerstraße,area,stadtrad-hamburg,['bike'],53.562709,9.96099,0,0
Bernhard-Nocht-Straße / Zirkusweg,area,stadtrad-hamburg,['bike'],53.54732,9.965669,2,0
Van-der-Smissen-Straße / Große Elbstraße,area,stadtrad-hamburg,['bike'],53.543906,9.94246,5,0
Ottenser Marktplatz / Platz der Republik,area,stadtrad-hamburg,['bike'],53.547905,9.934844,2,0
U Feldstraße / Marktstraße,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.557414,9.969178,2,1
U St. Pauli / Millerntorplatz,area,stadtrad-hamburg,['bike'],53.551,9.97033,1,0
Große Rainstraße/Ottenser Hauptstraße,area,stadtrad-hamburg,['bike'],53.552339,9.930344,7,0
Eimsbütteler Straße / Waterloostraße,area,stadtrad-hamburg,['bike'],53.5662,9.9534,4,0
Bahrenfelder Straße / Völckersstraße,area,stadtrad-hamburg,['bike'],53.556897,9.927945,1,0
S+U Sternschanze / Dänenweg,area,stadtrad-hamburg,['bike'],53.564227,9.96925,1,0
Eulenstraße / Große Brunnenstraße,area,stadtrad-hamburg,['bike'],53.550816,9.925653,0,0
U Messehallen / Marktstraße,area,stadtrad-hamburg,['bike'],53.558518,9.975346,2,0
Enckeplatz / Hütten,area,stadtrad-hamburg,['bike'],53.5524,9.97695,3,0
Sandweg / Sophienallee,area,stadtrad-hamburg,['bike'],53.569769,9.94977,9,0
S+U Landungsbrücken / Johannisbollwerk,area,stadtrad-hamburg,['bike'],53.5452501,9.9736853,13,0
U Christuskirche / Fruchtallee,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.5695,9.96309,2,1
Fischersallee / Bleickenallee,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.550801841,9.922218834471646,0,1
Sievekingplatz / Gorch-Fock-Wall,area,stadtrad-hamburg,['bike'],53.556061,9.979697,11,0
U Emilienstraße / Fruchtallee,area,stadtrad-hamburg,['bike'],53.57169,9.953138,1,0
Großneumarkt / Thielbek,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.550977,9.980459,1,1
U Schlump / Gustav-Falke-Straße,area,stadtrad-hamburg,['bike'],53.567991,9.969601,3,0
Michaeliskirche / Krayenkamp,area,stadtrad-hamburg,['bike'],53.547975,9.97942,2,0
Hohenzollernring / Friedensallee,area,stadtrad-hamburg,"['cargopedelec', 'bike']",53.55671,9.918508,8,1
St. Petersburger Straße / Bei den Kirchhöfen,area,stadtrad-hamburg,['bike'],53.559762,9.981839,8,0
U Gänsemarkt / Caffamacherreihe,area,stadtrad-hamburg,['bike'],53.55609,9.98434,10,0
U Baumwall / Elbphilharmonie,area,stadtrad-hamburg,['bike'],53.544279,9.980896,12,0
Osterstraße / Bismarckstraße,area,stadtrad-hamburg,['bike'],53.573183,9.962395,3,0
